CN-2017-101292,2017-07-11,定远路店,支付宝,2017-07-11,0,Cust-17605,陈丽雪,公司,泉州,福建,华东,Prod-10002196,Fellowes_文件车_单宽度,办公用品,收纳具,1281.84,2,0,153.72,杨洪光,0,2017
CN-2017-101293,2017-07-11,金寨店,其它,2017-07-14,3,Cust-21115,龙婷,公司,营口,辽宁,东北,Prod-10000664,Boston_荧光笔_混合尺寸,办公用品,美术,41.16,2,0.8,-140,郝杰,0,2017
CN-2017-101294,2017-07-11,临泉路,其它,2017-07-14,3,Cust-21115,龙婷,公司,营口,辽宁,东北,Prod-10004986,贝尔金_路由器_回收,技术,配件,718.368,1,0.4,-35.952,郝杰,0,2017
CN-2017-101295,2017-07-11,众兴店,微信,2017-07-15,6,Cust-18730,佘宁,消费者,沈阳,辽宁,东北,Prod-10002086,Safco_墙角架_白色,家具,书架,1276.632,3,0.4,-85.428,郝杰,0,2017
CN-2017-101296,2017-07-11,杨店店,信用卡,2017-07-15,6,Cust-18730,佘宁,消费者,沈阳,辽宁,东北,Prod-10002464,Chromcraft_圆桌_组装,家具,桌子,874.664,1,0.6,-1005.956,郝杰,0,2017
CN-2017-101297,2017-07-11,众兴店,其它,2017-07-15,6,Cust-18730,佘宁,消费者,沈阳,辽宁,东北,Prod-10001035,Bush_柜_金属,家具,书架,399.924,1,0.4,-100.016,郝杰,0,2017
CN-2017-101298,2017-07-11,临泉路,其它,2017-07-15,6,Cust-18730,佘宁,消费者,沈阳,辽宁,东北,Prod-10000167,Dania_书架_黑色,家具,书架,2409.624,7,0.4,-884.156,郝杰,0,2017
CN-2017-101299,2017-07-11,临泉路,微信,2017-07-16,6,Cust-21550,彭伟,小型企业,沂水,山东,华东,Prod-10004730,Sauder_书架_金属,家具,书架,2730.56,4,0,627.76,杨洪光,0,2017
CN-2017-101300,2017-07-12,人民路店,信用卡,2017-07-16,6,Cust-15310,韦君,公司,北票,辽宁,东北,Prod-10003836,Hoover_微波炉_黑色,办公用品,器具,6038.172,7,0.4,-2718.128,郝杰,0,2017
CN-2017-101301,2017-07-12,众兴店,其它,2017-07-17,3,Cust-13660,严恒,消费者,蚌埠,安徽,华东,Prod-10002224,Advantus_图钉_每包_12_个,办公用品,系固件,182.28,3,0,50.82,杨洪光,0,2017
CN-2017-101302,2017-07-12,燎原店,支付宝,2017-07-17,3,Cust-13660,严恒,消费者,蚌埠,安徽,华东,Prod-10002196,Fellowes_文件车_单宽度,办公用品,收纳具,2563.68,4,0,307.44,杨洪光,0,2017
CN-2017-101303,2017-07-12,庐江路,信用卡,2017-07-17,3,Cust-13660,严恒,消费者,蚌埠,安徽,华东,Prod-10001666,SanDisk_键区_回收,技术,配件,496.16,2,0,198.24,杨洪光,0,2017
CN-2017-101304,2017-07-13,众兴店,信用卡,2017-07-16,1,Cust-13045,尹凤,公司,温岭,浙江,华东,Prod-10003599,思科_智能手机_全尺寸,技术,电话,1174.068,3,0.4,-469.812,杨洪光,0,2017
CN-2017-101305,2017-07-13,金寨店,其它,2017-07-20,6,Cust-20080,邱升,消费者,苏州,江苏,华东,Prod-10002303,Harbour_Creations_椅垫_红色,家具,椅子,604.8,3,0.4,-40.32,杨洪光,0,2017
CN-2017-101306,2017-07-13,庐江路,其它,2017-07-20,6,Cust-18925,周柏,小型企业,信阳,河南,中南,Prod-10004655,Stockwell_夹子_金属,办公用品,系固件,265.44,3,0,132.72,王倩倩,0,2017
CN-2017-101307,2017-07-13,庐江路,信用卡,2017-07-20,6,Cust-20080,邱升,消费者,苏州,江苏,华东,Prod-10003943,Accos_橡皮筋_混合尺寸,办公用品,系固件,158.256,4,0.4,-79.184,杨洪光,0,2017
CN-2017-101308,2017-07-13,人民路店,其它,2017-07-20,6,Cust-20080,邱升,消费者,苏州,江苏,华东,Prod-10002702,Smead_可去除的标签_可调,办公用品,标签,78.4,2,0,33.6,杨洪光,0,2017
CN-2017-101309,2017-07-13,临泉路,支付宝,2017-07-20,6,Cust-20080,邱升,消费者,苏州,江苏,华东,Prod-10003117,Wilson_Jones_标签_耐用,办公用品,装订机,111.3,5,0.4,-56,杨洪光,0,2017
CN-2017-101310,2017-07-14,临泉路,其它,2017-07-16,3,Cust-10570,陶博,消费者,广州,广东,中南,Prod-10001141,贝尔金_键盘_实惠,技术,配件,391.44,1,0,195.72,王倩倩,0,2017
CN-2017-101311,2017-07-14,海恒店,支付宝,2017-07-16,3,Cust-10570,陶博,消费者,广州,广东,中南,Prod-10004690,Fellowes_盘_工业,办公用品,收纳具,540.12,2,0,237.44,王倩倩,0,2017
CN-2017-101312,2017-07-14,众兴店,其它,2017-07-16,3,Cust-10570,陶博,消费者,广州,广东,中南,Prod-10004064,佳能_传真复印机_每套两件,技术,复印机,1785.84,2,0,71.4,王倩倩,0,2017
CN-2017-101313,2017-07-14,庐江路,微信,2017-07-16,3,Cust-10570,陶博,消费者,广州,广东,中南,Prod-10002441,Fiskars_尺子_蓝色,办公用品,用品,336.7,5,0,19.6,王倩倩,0,2017
CN-2017-101314,2017-07-14,庐江路,支付宝,2017-07-16,3,Cust-10570,陶博,消费者,广州,广东,中南,Prod-10002540,惠普_传真复印机_彩色,技术,复印机,813.54,1,0,276.5,王倩倩,0,2017
CN-2017-101315,2017-07-14,庐江路,信用卡,2017-07-18,6,Cust-19075,邵鹏,消费者,洛阳,河南,中南,Prod-10000176,Breville_烤面包机_黑色,办公用品,器具,2842.56,8,0,624.96,王倩倩,0,2017
CN-2017-101316,2017-07-14,庐江路,信用卡,2017-07-18,6,Cust-19075,邵鹏,消费者,洛阳,河南,中南,Prod-10000832,Ames_商业信封_红色,办公用品,信封,254.52,3,0,81.06,王倩倩,0,2017
CN-2017-101317,2017-07-14,燎原店,其它,2017-07-18,6,Cust-19075,邵鹏,消费者,洛阳,河南,中南,Prod-10002984,Safco_柜_黑色,家具,书架,1588.44,2,0,142.8,王倩倩,0,2017
CN-2017-101318,2017-07-14,金寨店,其它,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10001071,KitchenAid_烤面包机_红色,办公用品,器具,716.688,3,0.4,-310.632,杨洪光,0,2017
CN-2017-101319,2017-07-14,海恒店,信用卡,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10001617,Tenex_锁柜_金属,办公用品,收纳具,5690.16,6,0,2845.08,杨洪光,0,2017
CN-2017-101320,2017-07-14,定远路店,信用卡,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10003379,Advantus_夹子_混合尺寸,办公用品,系固件,187.488,4,0.4,-90.832,杨洪光,0,2017
CN-2017-101321,2017-07-14,燎原店,其它,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10002009,GlobeWeis_邮寄品_回收,办公用品,信封,697.2,4,0,278.88,杨洪光,0,2017
CN-2017-101322,2017-07-14,庐江路,微信,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10002919,Harbour_Creations_沙滩椅_可调,家具,椅子,359.016,2,0.4,-131.824,杨洪光,0,2017
CN-2017-101323,2017-07-14,燎原店,其它,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10000017,Jiffy_局间信封_银色,办公用品,信封,683.76,3,0,88.62,杨洪光,0,2017
CN-2017-101324,2017-07-14,庐江路,信用卡,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10003846,Cardinal_装订机_耐用,办公用品,装订机,214.62,5,0.4,-54.18,杨洪光,0,2017
CN-2017-101325,2017-07-14,临泉路,信用卡,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10003542,SanDisk_信纸_每包_12_个,办公用品,纸张,245.28,1,0,56.28,杨洪光,0,2017
CN-2017-101326,2017-07-14,杨店店,其它,2017-07-18,6,Cust-19570,冯青,消费者,徐州,江苏,华东,Prod-10001505,Cardinal_孔加固材料_回收,办公用品,装订机,47.88,3,0.4,6.3,杨洪光,0,2017
CN-2017-101327,2017-07-16,燎原店,其它,2017-07-21,6,Cust-16120,田磊,小型企业,海口,云南,西南,Prod-10004442,贝尔金_路由器_耐用,技术,配件,6042.4,5,0,2537.5,姜伟,0,2017
CN-2017-101328,2017-07-17,人民路店,支付宝,2017-07-17,0,Cust-12910,吕凤,小型企业,珠海,广东,中南,Prod-10002989,Hon_运输标签_白色,办公用品,标签,477.54,9,0,56.7,王倩倩,0,2017
CN-2017-101329,2017-07-17,定远路店,信用卡,2017-07-19,1,Cust-21565,邵伟,公司,成都,四川,西南,Prod-10004968,惠普_墨水_每套两件,技术,复印机,1081.08,3,0.4,-666.96,姜伟,0,2017
CN-2017-101330,2017-07-17,人民路店,支付宝,2017-07-24,6,Cust-20680,巩松,小型企业,长清,山东,华东,Prod-10003459,Rubvermaid_框架_优质,家具,用具,4557.42,9,0,273.42,杨洪光,0,2017
CN-2017-101331,2017-07-17,金寨店,信用卡,2017-07-24,6,Cust-20680,巩松,小型企业,长清,山东,华东,Prod-10004164,Hon_文件夹标签_可调,办公用品,标签,91.56,3,0,13.44,杨洪光,0,2017
CN-2017-101332,2017-07-17,临泉路,微信,2017-07-24,6,Cust-10075,余嫒,公司,鸡东,黑龙江,东北,Prod-10002091,Fiskars_美工刀_工业,办公用品,用品,519.96,3,0,62.16,郝杰,0,2017
CN-2017-101333,2017-07-17,燎原店,微信,2017-07-24,6,Cust-10075,余嫒,公司,鸡东,黑龙江,东北,Prod-10003033,StarTech_喷墨打印机_耐用,技术,设备,8452.92,6,0,3042.48,郝杰,0,2017
CN-2017-101334,2017-07-18,金寨店,信用卡,2017-07-21,1,Cust-21205,潘涛,公司,丹东,辽宁,东北,Prod-10003670,Advantus_按钉_混合尺寸,办公用品,系固件,299.376,9,0.4,24.696,郝杰,0,2017
CN-2017-101335,2017-07-18,众兴店,其它,2017-07-21,1,Cust-21205,潘涛,公司,丹东,辽宁,东北,Prod-10002686,Novimex_沙滩椅_黑色,家具,椅子,365.652,3,0.4,-97.608,郝杰,0,2017
CN-2017-101336,2017-07-18,定远路店,微信,2017-07-22,6,Cust-16855,谭立,公司,自贡,四川,西南,Prod-10003562,Fiskars_剪刀_锯齿状,办公用品,用品,389.256,7,0.4,-201.684,姜伟,0,2017
CN-2017-101337,2017-07-18,临泉路,信用卡,2017-07-22,6,Cust-16855,谭立,公司,自贡,四川,西南,Prod-10002996,三星_办公室电话机_蓝色,技术,电话,365.232,2,0.4,-243.488,姜伟,0,2017
CN-2017-101338,2017-07-18,海恒店,支付宝,2017-07-22,3,Cust-12325,唐栋,小型企业,惠州,广东,中南,Prod-10003379,Advantus_夹子_混合尺寸,办公用品,系固件,312.48,4,0,34.16,王倩倩,0,2017
CN-2017-101339,2017-07-18,庐江路,其它,2017-07-22,6,Cust-16855,谭立,公司,自贡,四川,西南,Prod-10004102,SanDisk_鼠标_回收,技术,配件,505.68,5,0.4,-109.62,姜伟,0,2017
CN-2017-101340,2017-07-18,定远路店,支付宝,2017-07-22,6,Cust-16855,谭立,公司,自贡,四川,西南,Prod-10001478,Cameo_邮寄品_每套_50_个,办公用品,信封,712.32,4,0,341.6,姜伟,0,2017
CN-2017-101341,2017-07-18,海恒店,信用卡,2017-07-22,6,Cust-20755,戴松,公司,北京,北京,华北,Prod-10001134,Enermax_鼠标_回收,技术,配件,533.4,3,0,10.5,张怡莲,0,2017
CN-2017-101342,2017-07-18,人民路店,其它,2017-07-22,6,Cust-20755,戴松,公司,北京,北京,华北,Prod-10000466,宜家_古典书架_黑色,家具,书架,3855.6,2,0,1387.96,张怡莲,0,2017
CN-2017-101343,2017-07-18,庐江路,信用卡,2017-07-22,6,Cust-20755,戴松,公司,北京,北京,华北,Prod-10000128,Novimex_沙滩椅_可调,家具,椅子,226.1,1,0,4.48,张怡莲,0,2017
CN-2017-101344,2017-07-19,人民路店,支付宝,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10000979,Hon_凳子_可调,家具,椅子,3488.94,5,0.1,813.54,王倩倩,0,2017
CN-2017-101345,2017-07-19,庐江路,微信,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10000698,思科_充电器_蓝色,技术,电话,3039.82,1,0,121.52,王倩倩,0,2017
CN-2017-101346,2017-07-19,海恒店,其它,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10002899,宜家_古典书架_传统,家具,书架,3843,2,0,999.04,王倩倩,0,2017
CN-2017-101347,2017-07-19,燎原店,信用卡,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10000979,Hon_凳子_可调,家具,椅子,1395.576,2,0.1,325.416,王倩倩,0,2017
CN-2017-101348,2017-07-19,杨店店,支付宝,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10003407,Tenex_盒_金属,办公用品,收纳具,72.66,1,0,23.24,王倩倩,0,2017
CN-2017-101349,2017-07-19,燎原店,信用卡,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10003822,KitchenAid_咖啡研磨机_红色,办公用品,器具,1315.44,4,0,144.48,王倩倩,0,2017
CN-2017-101350,2017-07-19,人民路店,其它,2017-07-21,3,Cust-21040,冯婷,小型企业,大连,辽宁,东北,Prod-10002355,Rogers_文件车_蓝色,办公用品,收纳具,1321.6,2,0,13.16,郝杰,0,2017
CN-2017-101351,2017-07-19,定远路店,其它,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10002899,宜家_古典书架_传统,家具,书架,13450.5,7,0,3496.64,王倩倩,0,2017
CN-2017-101352,2017-07-19,杨店店,其它,2017-07-21,3,Cust-13135,范刚,消费者,肇庆,广东,中南,Prod-10002364,Hewlett_复印机_每套两件,技术,复印机,2460.92,2,0,1156.4,王倩倩,0,2017
CN-2017-101353,2017-07-19,定远路店,其它,2017-07-23,6,Cust-20995,白斯云,消费者,莱州,山东,华东,Prod-10000748,Harbour_Creations_可去除的标签_可调,办公用品,标签,231,6,0,25.2,杨洪光,0,2017
CN-2017-101354,2017-07-19,金寨店,信用卡,2017-07-23,6,Cust-20995,白斯云,消费者,莱州,山东,华东,Prod-10003837,思科_信号增强器_整包,技术,电话,2835.84,4,0,141.68,杨洪光,0,2017
CN-2017-101355,2017-07-19,庐江路,其它,2017-07-24,6,Cust-14155,吕欢悦,消费者,冷水江,湖南,中南,Prod-10000831,Binney_&_Smith_钢笔_金属,办公用品,美术,98.56,2,0.2,-18.48,王倩倩,0,2017
CN-2017-101356,2017-07-19,金寨店,其它,2017-07-24,6,Cust-14155,吕欢悦,消费者,冷水江,湖南,中南,Prod-10004690,Fellowes_盘_工业,办公用品,收纳具,540.12,2,0,237.44,王倩倩,0,2017
CN-2017-101357,2017-07-20,庐江路,支付宝,2017-07-23,1,Cust-13270,许莞颖,小型企业,合肥,安徽,华东,Prod-10003764,Acco_装订机盖_回收,办公用品,装订机,319.2,5,0,156.1,杨洪光,1,2017
CN-2017-101358,2017-07-20,金寨店,其它,2017-07-23,1,Cust-13270,许莞颖,小型企业,合肥,安徽,华东,Prod-10000562,Kraft_搭扣信封_银色,办公用品,信封,425.6,8,0,194.88,杨洪光,1,2017
CN-2017-101359,2017-07-20,杨店店,信用卡,2017-07-23,1,Cust-13270,许莞颖,小型企业,合肥,安徽,华东,Prod-10004218,Tenex_相框_一包多件,家具,用具,484.4,2,0,145.32,杨洪光,1,2017
CN-2017-101360,2017-07-20,金寨店,信用卡,2017-07-24,6,Cust-17200,邱廉,公司,本溪,辽宁,东北,Prod-10003195,Sauder_墙角架_黑色,家具,书架,2081.1,5,0.4,-70,郝杰,0,2017
CN-2017-101361,2017-07-20,定远路店,其它,2017-07-24,6,Cust-17200,邱廉,公司,本溪,辽宁,东北,Prod-10003151,Novimex_凳子_每套两件,家具,椅子,4201.092,9,0.4,-1961.568,郝杰,0,2017
CN-2017-101362,2017-07-20,众兴店,其它,2017-07-24,6,Cust-17200,邱廉,公司,本溪,辽宁,东北,Prod-10000186,Eldon_搁板_单宽度,办公用品,收纳具,452.2,2,0,198.8,郝杰,0,2017
CN-2017-101363,2017-07-20,金寨店,信用卡,2017-07-24,6,Cust-17200,邱廉,公司,本溪,辽宁,东北,Prod-10004393,Rogers_文件车_金属,办公用品,收纳具,3938.76,6,0,511.56,郝杰,0,2017
CN-2017-101364,2017-07-20,杨店店,微信,2017-07-24,6,Cust-17890,严珑,小型企业,唐山,河北,华北,Prod-10000801,Hewlett_传真机_每套两件,技术,复印机,5971.84,4,0,238.56,张怡莲,0,2017
CN-2017-101365,2017-07-20,临泉路,信用卡,2017-07-24,6,Cust-17890,严珑,小型企业,唐山,河北,华北,Prod-10001132,Hon_椅垫_黑色,家具,椅子,495.6,2,0,79.24,张怡莲,0,2017
CN-2017-101366,2017-07-20,杨店店,其它,2017-07-25,3,Cust-19195,俞平,小型企业,鹤壁,河南,中南,Prod-10002532,Hon_椅垫_可调,家具,椅子,731.052,3,0.1,324.912,王倩倩,0,2017
CN-2017-101367,2017-07-20,庐江路,支付宝,2017-07-25,3,Cust-19195,俞平,小型企业,鹤壁,河南,中南,Prod-10003644,Kraft_外皮和封条_回收,办公用品,信封,450.1,5,0,126,王倩倩,0,2017
CN-2017-101368,2017-07-22,杨店店,支付宝,2017-07-28,6,Cust-16180,常丽华,消费者,上海,上海,华东,Prod-10003386,佳能_无线传真机_彩色,技术,复印机,7095.2,4,0,1347.92,杨洪光,0,2017
CN-2017-101369,2017-07-23,杨店店,其它,2017-07-28,6,Cust-21400,施旺,消费者,肃州,甘肃,西北,Prod-10000638,Kleencut_大剪刀_蓝色,办公用品,用品,523.824,4,0.4,-96.096,江奕健,0,2017
CN-2017-101370,2017-07-23,人民路店,其它,2017-07-28,6,Cust-21400,施旺,消费者,肃州,甘肃,西北,Prod-10003736,Rogers_文件夹_单宽度,办公用品,收纳具,430.08,3,0,124.32,江奕健,0,2017
CN-2017-101371,2017-07-23,燎原店,信用卡,2017-07-28,6,Cust-15010,肖菊,公司,潍坊,山东,华东,Prod-10000800,Boston_记号笔_金属,办公用品,美术,386.82,3,0,139.02,杨洪光,0,2017
CN-2017-101372,2017-07-23,庐江路,其它,2017-07-29,6,Cust-11575,邱秋,公司,鹤壁,河南,中南,Prod-10003886,Stanley_钢笔_整包,办公用品,美术,115.584,3,0.2,-13.356,王倩倩,0,2017
CN-2017-101373,2017-07-23,人民路店,信用卡,2017-07-29,6,Cust-11575,邱秋,公司,鹤壁,河南,中南,Prod-10004788,Brother_个人复印机_数字化,技术,复印机,665.14,1,0,212.8,王倩倩,0,2017
CN-2017-101374,2017-07-25,海恒店,其它,2017-07-27,3,Cust-18370,巩明媚,消费者,吉林市,吉林,东北,Prod-10001165,Sanford_铅笔刀_混合尺寸,办公用品,美术,216.608,2,0.2,-37.912,郝杰,0,2017
CN-2017-101375,2017-07-25,定远路店,微信,2017-07-28,1,Cust-21085,黄婷,消费者,深圳,广东,中南,Prod-10000793,Smead_锁柜_单宽度,办公用品,收纳具,1852.2,2,0,148.12,王倩倩,0,2017
CN-2017-101376,2017-07-25,杨店店,其它,2017-07-29,6,Cust-18505,黄娜,消费者,濮阳,河南,中南,Prod-10000387,BIC_荧光笔_金属,办公用品,美术,150.752,2,0.2,43.232,王倩倩,0,2017
CN-2017-101377,2017-07-25,定远路店,其它,2017-07-29,6,Cust-18505,黄娜,消费者,濮阳,河南,中南,Prod-10000254,KitchenAid_咖啡研磨机_白色,办公用品,器具,1600.9,5,0,287.7,王倩倩,0,2017
CN-2017-101378,2017-07-26,众兴店,支付宝,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10004006,Sauder_柜_黑色,家具,书架,2352.42,5,0.4,-823.48,杨洪光,0,2017
CN-2017-101379,2017-07-26,杨店店,其它,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10004006,Novimex_扶手椅_黑色,家具,椅子,6377.28,5,0.4,-106.82,杨洪光,0,2017
CN-2017-101380,2017-07-26,定远路店,微信,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10004678,Eldon_闹钟_优质,家具,用具,463.176,3,0.4,-285.684,杨洪光,0,2017
CN-2017-101381,2017-07-26,杨店店,信用卡,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10004286,Hewlett_墨水_彩色,技术,复印机,840.672,2,0.4,-392.448,杨洪光,0,2017
CN-2017-101382,2017-07-26,杨店店,微信,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10004976,Hon_可去除的标签_红色,办公用品,标签,188.16,4,0,40.88,杨洪光,0,2017
CN-2017-101383,2017-07-26,人民路店,其它,2017-07-28,3,Cust-17320,楚丽丽,小型企业,扬州,江苏,华东,Prod-10001078,Advantus_灯泡_优质,家具,用具,156.996,3,0.4,-78.624,杨洪光,0,2017
CN-2017-101384,2017-07-27,海恒店,信用卡,2017-07-28,1,Cust-13015,姚凤,消费者,牙克石,内蒙古,华北,Prod-10000942,思科_智能手机_整包,技术,电话,387.996,1,0.4,-129.444,张怡莲,0,2017
CN-2017-101385,2017-07-27,燎原店,其它,2017-07-31,3,Cust-11545,唐忠,公司,沧州,河北,华北,Prod-10000928,Eaton_令_每包_12_个,办公用品,纸张,286.44,2,0,91.56,张怡莲,0,2017
CN-2017-101386,2017-07-27,金寨店,其它,2017-08-02,6,Cust-21640,涂伟,消费者,衡阳,湖南,中南,Prod-10002550,Office_Star_沙滩椅_黑色,家具,椅子,667.926,3,0.1,259.686,王倩倩,0,2017
CN-2017-101387,2017-07-27,人民路店,信用卡,2017-08-02,6,Cust-21640,涂伟,消费者,衡阳,湖南,中南,Prod-10002321,诺基亚_信号增强器_混合尺寸,技术,电话,2601.2,4,0,103.6,王倩倩,0,2017
CN-2017-101388,2017-07-27,定远路店,其它,2017-08-03,6,Cust-14275,杨欢,公司,韶关,广东,中南,Prod-10001627,惠普_无线传真机_彩色,技术,复印机,6750.8,4,0,202.16,王倩倩,0,2017
CN-2017-101389,2017-07-27,庐江路,信用卡,2017-08-03,6,Cust-14275,杨欢,公司,韶关,广东,中南,Prod-10004274,Eaton_备忘录便条_每包_12_个,办公用品,纸张,166.88,2,0,46.48,王倩倩,0,2017
CN-2017-101390,2017-07-28,海恒店,信用卡,2017-07-28,0,Cust-17125,肖良,消费者,即墨,山东,华东,Prod-10000554,爱普生_卡片打印机_红色,技术,设备,4678.8,6,0,2292.36,杨洪光,0,2017
CN-2017-101391,2017-07-28,临泉路,信用卡,2017-07-28,0,Cust-17125,肖良,消费者,即墨,山东,华东,Prod-10001467,Advantus_分层置放架_一包多件,家具,用具,370.02,3,0,96.18,杨洪光,0,2017
CN-2017-101392,2017-07-28,定远路店,其它,2017-08-04,6,Cust-20695,孔松,公司,兰州,甘肃,西北,Prod-10004788,Brother_个人复印机_数字化,技术,复印机,1995.42,5,0.4,-266.28,江奕健,0,2017
CN-2017-101393,2017-07-28,人民路店,其它,2017-08-04,6,Cust-16105,陶磊,公司,巢湖,安徽,华东,Prod-10001247,Hamilton_Beach_搅拌机_银色,办公用品,器具,1675.1,5,0,485.1,杨洪光,0,2017
CN-2017-101394,2017-07-29,杨店店,信用卡,2017-08-02,6,Cust-15220,顾君,公司,北京,北京,华北,Prod-10003154,Enermax_鼠标_实惠,技术,配件,188.02,1,0,46.9,张怡莲,0,2017
CN-2017-101395,2017-07-29,众兴店,信用卡,2017-08-02,6,Cust-15220,顾君,公司,北京,北京,华北,Prod-10001608,Sanford_画布_混合尺寸,办公用品,美术,501.2,2,0,155.12,张怡莲,0,2017
CN-2017-101396,2017-07-29,临泉路,微信,2017-08-04,6,Cust-19225,叶琪,消费者,深圳,广东,中南,Prod-10004405,Avery_文件夹标签_白色,办公用品,标签,85.12,2,0,1.68,王倩倩,0,2017
CN-2017-101397,2017-07-30,金寨店,支付宝,2017-08-01,1,Cust-19435,严强,消费者,上海,上海,华东,Prod-10000389,Smead_合法证物标签_白色,办公用品,标签,103.6,2,0,6.16,杨洪光,0,2017
CN-2017-101398,2017-07-31,海恒店,信用卡,2017-07-31,0,Cust-16090,苏磊,消费者,椒江,浙江,华东,Prod-10002440,Tenex_文件车_蓝色,办公用品,收纳具,2503.76,4,0,199.92,杨洪光,0,2017
CN-2017-101399,2017-07-31,金寨店,微信,2017-07-31,0,Cust-16090,苏磊,消费者,椒江,浙江,华东,Prod-10000753,Deflect-O_灯泡_一包多件,家具,用具,266.7,5,0.4,-4.9,杨洪光,0,2017
CN-2017-101400,2017-07-31,庐江路,信用卡,2017-08-05,6,Cust-21580,曹伟,消费者,西安,陕西,西北,Prod-10004613,Elite_美工刀_工业,办公用品,用品,511.14,3,0,132.72,江奕健,0,2017
CN-2017-101401,2017-07-31,定远路店,支付宝,2017-08-05,6,Cust-21580,曹伟,消费者,西安,陕西,西北,Prod-10003708,Eaton_计划信息表_每包_12_个,办公用品,纸张,346.08,3,0,17.22,江奕健,0,2017
CN-2017-101402,2017-07-31,杨店店,信用卡,2017-08-05,3,Cust-16480,马丽娜,消费者,禹州,河南,中南,Prod-10004262,Advantus_回形针_混合尺寸,办公用品,系固件,159.6,3,0,33.18,王倩倩,0,2017
CN-2017-101403,2017-07-31,人民路店,支付宝,2017-08-05,3,Cust-16480,马丽娜,消费者,禹州,河南,中南,Prod-10001067,罗技_闪存驱动器_实惠,技术,配件,711.9,5,0,28,王倩倩,0,2017
CN-2017-101404,2017-08-01,定远路店,信用卡,2017-08-05,6,Cust-20170,佘升,消费者,汕头,广东,中南,Prod-10004864,Hewlett_传真机_红色,技术,复印机,2969.12,2,0,1098.44,王倩倩,0,2017
CN-2017-101405,2017-08-01,杨店店,信用卡,2017-08-05,3,Cust-14155,吕欢悦,消费者,营口,辽宁,东北,Prod-10004088,GlobeWeis_商业信封_银色,办公用品,信封,552.72,6,0,120.96,郝杰,0,2017
CN-2017-101406,2017-08-01,众兴店,其它,2017-08-05,6,Cust-20170,佘升,消费者,汕头,广东,中南,Prod-10000988,Stockwell_夹子_每包_12_个,办公用品,系固件,426.3,5,0,153.3,王倩倩,0,2017
CN-2017-101407,2017-08-02,众兴店,信用卡,2017-08-04,3,Cust-15520,肖崆,消费者,兰州,甘肃,西北,Prod-10003014,思科_智能手机_混合尺寸,技术,电话,1978.62,5,0.4,131.32,江奕健,0,2017
CN-2017-101408,2017-08-02,庐江路,微信,2017-08-04,3,Cust-10975,白婵,公司,上海,上海,华东,Prod-10002669,Breville_烤面包机_白色,办公用品,器具,1746.5,5,0,681.1,杨洪光,0,2017
CN-2017-101409,2017-08-02,临泉路,信用卡,2017-08-05,3,Cust-19885,孟珊,公司,哈尔滨,黑龙江,东北,Prod-10002996,三星_办公室电话机_蓝色,技术,电话,913.08,3,0,0,郝杰,0,2017
CN-2017-101410,2017-08-02,庐江路,支付宝,2017-08-07,6,Cust-17875,涂珑,小型企业,济宁,山东,华东,Prod-10001435,KitchenAid_烤面包机_银色,办公用品,器具,1606.64,4,0,674.24,杨洪光,0,2017
CN-2017-101411,2017-08-02,临泉路,信用卡,2017-08-07,6,Cust-14200,曹欢悦,小型企业,六合,吉林,东北,Prod-10004872,Advantus_框架_一包多件,家具,用具,2075.36,4,0,912.8,郝杰,0,2017
CN-2017-101412,2017-08-02,众兴店,其它,2017-08-07,6,Cust-14200,曹欢悦,小型企业,六合,吉林,东北,Prod-10003029,Rubvermaid_相框_一包多件,家具,用具,967.12,4,0,260.96,郝杰,0,2017
CN-2017-101413,2017-08-03,杨店店,信用卡,2017-08-05,1,Cust-14515,徐嘉丽,消费者,洛阳,河南,中南,Prod-10003504,Ibico_装订机_耐用,办公用品,装订机,396.2,5,0,138.6,王倩倩,0,2017
